93612,76992,69452
4387,60049,8877
43126,39737,84757
30167,68987,19789
92427,53000,95237
38193,19273,23561
54992,34511,43980
11107,44787,52686
35724,98740,19812
28016,57751,86155
93461,77703,78395
94606,79586,97929
67878,92289,42528
38971,54378,98204
66002,25958,89347
40281,30990,67294
25898,31190,14029
85535,48773,26872
10128,70597,46452
68618,23612,85624
79490,1682,569
8828,51411,60251
38583,16324,14091
10437,63697,61596
56370,26228,17029
86199,8063,16493
20471,66847,99889
28748,63929,18749
19248,83995,67615
333,91140,79303
59093,5932,49628
65463,73678,60286
87559,27061,41247
424,28274,74202
85572,19477,32761
88116,2580,65047
77302,37669,40015
7664,30793,17676
7152,87786,56278
21754,53651,91511
19205,97579,71254
13841,24770,87922
60676,26132,30482
10161,34169,42397
97588,95253,77422
62674,99068,96065
3701,85077,92763
87646,99624,9786
79480,48455,82469
85485,88400,12789
80002,63227,89969
78922,68131,54845
11326,3980,91289
37613,85718,1487
73551,87391,77749
18494,53007,56937
